Date,Open,High,Low,Close,Support,Resistance,Sentiment,Sentiment_Label
2023-08-29,245.0,248.5,244.9499969482422,246.89999389648438,,,,
2023-08-30,248.0,250.5,246.89999389648438,247.35000610351562,,,,Neutral
2023-08-31,248.64999389648438,249.75,244.25,245.10000610351562,,,,Neutral
2023-09-01,246.75,255.9499969482422,246.10000610351562,255.35000610351562,,,,Neutral
2023-09-04,257.95001220703125,262.29998779296875,255.10000610351562,259.1499938964844,,,,Neutral
2023-09-05,260.79998779296875,262.5,255.64999389648438,258.45001220703125,,,,Neutral
2023-09-06,261.0,261.79998779296875,254.64999389648438,257.5,,,,Neutral
2023-09-07,258.0,266.3500061035156,256.29998779296875,263.70001220703125,,,,Neutral
2023-09-08,264.8500061035156,276.5,263.70001220703125,268.8500061035156,,,,Neutral
2023-09-11,274.0,274.0,269.1499938964844,271.8999938964844,,,,Neutral
2023-09-12,276.0,276.0,260.0,262.70001220703125,,,,Neutral
2023-09-13,263.5,267.6000061035156,261.0,265.0,,,,Neutral
2023-09-14,266.8500061035156,268.0,263.45001220703125,265.1000061035156,,,,Neutral
2023-09-15,267.1000061035156,267.95001220703125,263.1000061035156,263.95001220703125,,,,Neutral
2023-09-18,265.3999938964844,266.75,262.29998779296875,265.54998779296875,,,,Neutral
2023-09-20,265.3500061035156,267.0,261.0,262.0,,,,Neutral
2023-09-21,261.95001220703125,262.0,256.04998779296875,256.6499938964844,,,,Neutral
2023-09-22,257.1499938964844,259.0,254.25,257.1000061035156,,,,Neutral
2023-09-25,258.20001220703125,258.29998779296875,255.0,256.8999938964844,,,,Neutral
2023-09-26,257.1000061035156,263.75,257.0,259.8500061035156,244.25,276.5,,Neutral
2023-09-27,259.8500061035156,260.6000061035156,256.54998779296875,259.75,244.25,276.5,0.2732,Positive
2023-09-28,262.0,264.25,257.29998779296875,258.04998779296875,244.25,276.5,0.2732,Positive
2023-09-29,259.45001220703125,264.75,259.45001220703125,262.29998779296875,246.10000610351562,276.5,0.2732,Positive
2023-10-03,262.54998779296875,266.5,260.79998779296875,263.95001220703125,254.25,276.5,0.2732,Positive
2023-10-04,262.95001220703125,262.95001220703125,253.5,256.6499938964844,253.5,276.5,0.2732,Neutral
2023-10-05,258.6000061035156,260.20001220703125,256.0,257.79998779296875,253.5,276.5,0.2732,Neutral
2023-10-06,259.5,259.95001220703125,258.04998779296875,258.75,253.5,276.5,0.2732,Neutral
2023-10-09,255.10000610351562,255.9499969482422,249.10000610351562,250.0,249.10000610351562,276.5,0.2732,Neutral
2023-10-10,250.5,255.0,250.5,253.89999389648438,249.10000610351562,276.0,0.2732,Neutral
2023-10-11,255.1999969482422,256.3999938964844,253.10000610351562,253.9499969482422,249.10000610351562,276.0,0.8658,Positive
2023-10-12,255.39999389648438,257.3999938964844,254.6999969482422,255.14999389648438,249.10000610351562,268.0,0.8658,Positive
2023-10-13,254.4499969482422,255.89999389648438,253.1999969482422,254.10000610351562,249.10000610351562,268.0,0.8658,Positive
2023-10-16,254.10000610351562,256.8500061035156,253.5500030517578,254.8000030517578,249.10000610351562,267.95001220703125,0.8658,Positive
2023-10-17,256.8500061035156,259.29998779296875,256.0,256.8999938964844,249.10000610351562,267.0,0.8658,Positive
2023-10-18,257.0,257.70001220703125,251.5,253.0500030517578,249.10000610351562,267.0,0.8658,Neutral
2023-10-19,252.5500030517578,252.89999389648438,249.5,252.0,249.10000610351562,266.5,0.8658,Neutral
2023-10-20,251.5,252.39999389648438,246.60000610351562,247.39999389648438,246.60000610351562,266.5,0.8658,Neutral
2023-10-23,248.35000610351562,248.75,236.3000030517578,238.25,236.3000030517578,266.5,0.8658,Neutral
2023-10-25,239.85000610351562,241.64999389648438,233.14999389648438,236.6999969482422,233.14999389648438,266.5,0.9147666666666666,Positive
2023-10-26,235.0,235.35000610351562,230.8000030517578,234.39999389648438,230.8000030517578,266.5,0.9147666666666666,Positive
2023-10-27,236.14999389648438,239.0,235.5,238.14999389648438,230.8000030517578,266.5,0.9147666666666666,Positive
2023-10-30,238.5,239.89999389648438,235.0,239.10000610351562,230.8000030517578,266.5,0.9147666666666666,Positive
2023-10-31,240.5,241.85000610351562,238.25,239.35000610351562,230.8000030517578,266.5,0.9147666666666666,Positive
2023-11-01,239.9499969482422,240.25,236.3000030517578,236.89999389648438,230.8000030517578,262.95001220703125,0.9147666666666666,Neutral
2023-11-02,238.0,245.0500030517578,238.0,244.8000030517578,230.8000030517578,260.20001220703125,0.9147666666666666,Neutral
2023-11-03,245.85000610351562,246.14999389648438,243.89999389648438,244.60000610351562,230.8000030517578,259.95001220703125,0.9147666666666666,Neutral
2023-11-06,247.0,251.1999969482422,245.60000610351562,249.5500030517578,230.8000030517578,259.29998779296875,0.9147666666666666,Neutral
2023-11-07,249.9499969482422,252.0,248.89999389648438,249.8000030517578,230.8000030517578,259.29998779296875,0.9147666666666666,Neutral
2023-11-08,252.89999389648438,256.3500061035156,251.5,254.9499969482422,230.8000030517578,259.29998779296875,0.9972,Positive
2023-11-09,254.0,254.0,247.1999969482422,248.0,230.8000030517578,259.29998779296875,0.9972,Positive
2023-11-10,248.0,251.85000610351562,246.85000610351562,251.39999389648438,230.8000030517578,259.29998779296875,0.9972,Positive
2023-11-13,252.75,258.5,251.25,257.04998779296875,230.8000030517578,259.29998779296875,0.9972,Positive
2023-11-15,259.20001220703125,262.25,258.1000061035156,259.20001220703125,230.8000030517578,262.25,0.6459,Positive
2023-11-16,259.3999938964844,265.5,259.3500061035156,262.45001220703125,230.8000030517578,265.5,0.6459,Positive
2023-11-17,262.8999938964844,264.95001220703125,261.3999938964844,262.6499938964844,230.8000030517578,265.5,0.6459,Positive
2023-11-20,263.8500061035156,264.3999938964844,260.1000061035156,260.8500061035156,230.8000030517578,265.5,0.6459,Positive
2023-11-21,263.75,265.3999938964844,260.75,262.6499938964844,230.8000030517578,265.5,0.6459,Positive
2023-11-22,263.3999938964844,263.6000061035156,259.25,262.1000061035156,230.8000030517578,265.5,0.6459,Neutral
2023-11-23,262.1000061035156,263.75,259.79998779296875,260.75,230.8000030517578,265.5,0.6459,Neutral
2023-11-24,261.3999938964844,261.8999938964844,257.04998779296875,258.1499938964844,235.0,265.5,0.6459,Neutral
2023-11-28,259.3999938964844,271.3999938964844,258.5,270.79998779296875,235.0,271.3999938964844,0.6459,Neutral
